"sid","name","u_time","agency","do","city","gu","c_add","phone","fee","etc","create_date"
"ME178058","문경휴게소(마산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","문경시","중부내륙고속도로","경상북도 문경시 중부내륙고속도로 173 ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178059","문경휴게소(양평방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","문경시","중부내륙고속도로","경상북도 문경시 중부내륙고속도로 174 (유곡동) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178060","서여주휴게소(마산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","여주시","능서면","경기도 여주시 능서면 중부내륙고속도로 271 (매류리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178061","서여주휴게소(양평방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","여주시","능서면","경기도 여주시 능서면 중부내륙고속도로 272 (매류리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178062","영산휴게소(마산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","창녕군","창녕군","경상남도 창녕군 영산면 장척호수길 56-110 (신제리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178063","괴산휴게소(마산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","괴산군","괴산군","충청북도 괴산군 장연면 중부내륙고속도로 205 (오가리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178064","괴산휴게소(양평방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","괴산군","괴산군","충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178065","칠서휴게소(양평방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","함안군","함안군","경상남도 함안군 칠서면 계룡로 122-1 (계내리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178066","하남만남휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","하남시","중부고속도로","경기도 하남시 중부고속도로 117-1 (천현동) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178067","현풍휴게소(대구방향)","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","달성군","대구광역시 달성군 현풍면 비슬로 741 (성하리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178068","현풍휴게소(현풍방향)","24시간 이용가능","환경부(한국자동차환경협회)","대구광역시","대구시","달성군","대구광역시 달성군 현풍면 성하길 48 (성하리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178069","충주휴게소(마산방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","충주시","중앙탑면","충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
